,ID,ageGap,attendReligiousServiceFreq,employmentStatus,genderSubjectAttractedTo,houseType,householdAdults_num,householdIncome,householdMinor_num,householdSize,interracial,isHispanic,isLivingTogether,isMarried,isMetroArea,metAs_coworkers,metAs_customerAndClient,metAs_workNeighbors,metIn_church,metIn_college,metIn_military,metIn_privateParty,metIn_public,metIn_restaurantOrBar,metIn_school,metIn_voluntaryOrg,metOn_blindDate,metOn_businessTrip,metOn_vacation,metOnline_all,metOnline_chat,metOnline_datingSiteOrApp,metOnline_gaming,metOnline_nonDatingSite,metOnline_other,metOnline_socialNetwork,metThru_family,metThru_friend,metThru_notInternetDatingService,metThru_orAs_neighbors,met_YearFraction,met_to_shipStart_diff,moveIn_YearFraction,numRelativesSeePerMonth,ownHouseRentOther,partnerAge,partnerEduc_years,partnerGender,partnerMotherEduc_years,partnerParty_DemPos_RepNeg,partnerRace,partyDifference,region,relationshipQuality,relationshipQuality_isGood,relationshipQuality_num,season_met,season_shipStart,sexFrequency,shipStart_YearFraction,shipStart_to_moveIn_YearFraction,straightGayLesbian,subjectAge,subjectAgeWhenMet,subjectCountryWhenMetPartner,subjectEduc_years,subjectGender,subjectGrewUpInUS,subjectMotherEduc_years,subjectParty_DemPos_RepNeg,subjectRace,subjectSexualIdentity,timesDivorcedOrWidowed,whoEarnedMore
17,2690979,6.0,Never,employed,sexually attracted to men and women equally,A one-family house detached from any other house,3,22500,0,3,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,2002.7084,0.0,2004.7084,0.0,Rented for cash,40.0,12.0,[Partner Name] is Female,12.0,3,White,0,South,Excellent,1,5,autumn,autumn,3 to 6 times a week,2002.7084,2.0,hetero couple,46,31.0,United States,12.0,Female,United States,12.0,3,White,Something else,0.0,[Partner Name] earned more
18,1861177,9.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,1,3,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2004.7916,2.083374,2007.125,3.0,Owned or being bought by you or someone in your household,40.0,17.0,[Partner Name] is Female,14.0,-1,White,2,Midwest,Excellent,1,5,autumn,autumn,Once or twice a week,2006.875,0.25,hetero couple,49,36.0,United States,13.0,Male,United States,14.0,-3,White,heterosexual or straight,3.0,[Partner Name] earned more
19,782115,6.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,67500,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1973.5416,0.833374,1974.7916,1.0,Rented for cash,72.0,13.0,[Partner Name] is Male,13.0,3,Black or African American,0,South,Good,1,4,summer,spring,Refused,1974.375,0.41662598,hetero couple,66,22.0,United States,16.0,Female,United States,12.0,3,Black or African American,heterosexual or straight,0.0,I earned more
20,808133,1.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1995.4584,0.0,1998.9584,0.0,Owned or being bought by you or someone in your household,40.0,16.0,[Partner Name] is Female,16.0,0,White,3,West,Excellent,1,5,summer,summer,Once or twice a week,1995.4584,3.5,hetero couple,41,19.0,United States,16.0,Male,United States,17.0,-3,White,heterosexual or straight,0.0,I earned more
23,1760115,9.0,Never,retired,sexually attracted only to opposite gender,A mobile home,1,17500,0,1,no,False,No,"No, I am not Married",Metro,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2008.4584,2.75,,2.0,Owned or being bought by you or someone in your household,55.0,12.0,[Partner Name] is Male,12.0,1,White,1,Midwest,Excellent,1,5,summer,spring,Once or twice a week,2011.2084,,hetero couple,64,55.0,United States,12.0,Female,United States,10.0,0,White,heterosexual or straight,1.0,[Partner Name] earned more
24,1535219,3.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,22500,2,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,2000.2916,0.33337402,2001.0416,3.0,Owned or being bought by you or someone in your household,35.0,12.0,[Partner Name] is Female,12.0,0,White,1,South,Excellent,1,5,spring,summer,3 to 6 times a week,2000.625,0.41662598,hetero couple,32,15.0,United States,12.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,I earned more
25,2645965,0.0,More than once a week,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,32500,3,5,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,1990.4584,0.0,1990.4584,20.0,Rented for cash,45.0,12.0,[Partner Name] is Female,11.0,0,White,2,Northeast,Excellent,1,5,summer,summer,2 to 3 times a month,1990.4584,0.0,hetero couple,45,18.0,United States,12.0,Male,United States,5.5,2,White,heterosexual or straight,0.0,I earned more
27,2930471,2.0,Once a year or less,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,1,11250,0,1,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2014.9584,0.08325195,,0.0,Rented for cash,25.0,13.0,[Partner Name] is Male,12.0,-1,White,2,South,Excellent,1,5,winter,winter,2 to 3 times a month,2015.0416,,hetero couple,23,20.0,United States,13.0,Female,United States,17.0,-3,White,heterosexual or straight,0.0,We earned about the same amount
28,2871183,5.0,More than once a week,unemployed,sexually attracted to men and women equally,A one-family house detached from any other house,2,80000,0,2,yes,False,No,"No, I am not Married",Metro,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,2012.625,4.5,,11.0,Owned or being bought by you or someone in your household,43.0,13.0,[Partner Name] is Female,12.0,-3,White,1,Midwest,Good,1,4,summer,winter,2 to 3 times a month,2017.125,,hetero couple,38,33.0,United States,16.0,Male,United States,13.0,-2,Other (please specify),bisexual,0.0,I earned more
29,2106585,1.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,27500,0,2,no,False,No,"No, I am not Married",Non-Metro,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2010.2916,0.0,2012.7084,5.0,Owned or being bought by you or someone in your household,22.0,11.0,[Partner Name] is Male,11.0,0,White,1,South,Fair,0,3,spring,spring,3 to 6 times a week,2010.2916,2.416748,hetero couple,23,16.0,United States,12.0,Female,United States,12.0,-1,White,heterosexual or straight,1.0,I earned more
30,2963787,0.0,Never,employed,sexually attracted only to opposite gender,A mobile home,2,17500,4,6,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2006.7916,7.833374,2014.2084,5.0,Rented for cash,26.0,12.0,[Partner Name] is Female,12.0,0,White,2,West,Excellent,1,5,autumn,summer,Once or twice a week,2014.625,0.0,hetero couple,26,15.0,United States,12.0,Male,United States,12.0,-2,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
32,1739387,5.0,Once a year or less,retired,sexually attracted only to same gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1977.0416,0.25,1978.7084,2.0,Owned or being bought by you or someone in your household,75.0,17.0,[Partner Name] is Female,2.5,1,White,0,South,Excellent,1,5,winter,spring,Once a month or less,1977.2916,1.416748,lesbian couple,70,30.0,United States,17.0,Female,United States,16.0,1,White,lesbian,1.0,I earned more
34,2787017,8.0,More than once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,4,6,no,True,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,2002.4584,1.0,Owned or being bought by you or someone in your household,39.0,16.0,[Partner Name] is Female,17.0,-1,White,1,South,Good,1,4,,spring,Once or twice a week,2000.375,2.083374,hetero couple,47,,United States,17.0,Male,"Another country, please specify",5.5,-2,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
35,2894963,1.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,92500,2,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1999.7916,0.25,2007.4584,8.0,Owned or being bought by you or someone in your household,32.0,16.0,[Partner Name] is Female,12.0,-1,White,0,Northeast,Excellent,1,5,autumn,winter,2 to 3 times a month,2000.0416,7.416748,hetero couple,33,15.0,United States,16.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,I earned more
36,2686671,4.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,1,3,no,False,No,"No, I am not Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2016.2084,1.083252,,4.0,Owned or being bought by you or someone in your household,24.0,12.0,[Partner Name] is Female,12.0,1,White,1,South,Fair,0,3,spring,spring,Once a month or less,2017.2916,,hetero couple,20,19.0,United States,12.0,Male,United States,12.0,2,White,heterosexual or straight,0.0,I earned more
37,2695689,4.0,A few times a year,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,187500,0,2,yes,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,1999.375,0.0,2005.7084,1.0,Owned or being bought by you or someone in your household,62.0,13.0,[Partner Name] is Male,12.0,2,Black or African American,0,Midwest,Excellent,1,5,spring,spring,Once a month or less,1999.375,6.333374,hetero couple,58,40.0,United States,12.0,Female,United States,12.0,2,White,heterosexual or straight,2.0,I earned more
38,2618039,3.0,Never,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,1,6250,0,1,no,False,Yes,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,2010.7084,0.25,2011.4584,3.0,Rented for cash,53.0,12.0,[Partner Name] is Female,7.5,-1,White,0,Northeast,Fair,0,3,autumn,winter,2 to 3 times a month,2010.9584,0.5,hetero couple,50,43.0,United States,12.0,Male,United States,12.0,-1,White,heterosexual or straight,1.0,I earned more
40,2516441,10.0,Once a year or less,employed,sexually attracted only to same gender,A one-family house detached from any other house,3,137500,0,3,no,False,No,"Yes, I am Married",Metro,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1988.0416,0.08337402,1988.625,10.0,Rented for cash,58.0,16.0,[Partner Name] is Female,0.0,3,White,0,South,Excellent,1,5,winter,winter,Once a month or less,1988.125,0.5,hetero couple,48,19.0,United States,20.0,Male,United States,12.0,3,White,gay,0.0,[Partner Name] earned more
41,1301695,6.0,Never,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,187500,0,3,no,False,No,"No, I am not Married",Metro,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2013.875,2.5,,4.0,Rented for cash,28.0,20.0,[Partner Name] is Male,20.0,1,Asian or Pacific Islander,2,West,Excellent,1,5,autumn,spring,Once or twice a week,2016.375,,hetero couple,22,18.0,United States,16.0,Female,United States,16.0,3,Asian or Pacific Islander,heterosexual or straight,0.0,[Partner Name] earned more
42,2943881,14.0,Never,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,137500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2006.4584,0.0,2007.2084,0.0,Rented for cash,48.0,16.0,[Partner Name] is Female,12.0,3,White,0,West,Excellent,1,5,summer,summer,Once a month or less,2006.4584,0.75,hetero couple,62,51.0,United States,14.0,Male,United States,16.0,3,White,heterosexual or straight,3.0,[Partner Name] earned more
43,2205453,0.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,187500,0,1,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2017.4584,0.0,,0.0,Owned or being bought by you or someone in your household,32.0,16.0,[Partner Name] is Female,16.0,0,White,1,South,Excellent,1,5,summer,summer,3 to 6 times a week,2017.4584,,hetero couple,32,32.0,United States,16.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,We earned about the same amount
44,1872925,2.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,37500,1,4,no,False,Yes,"No, I am not Married",Metro,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2015.0416,0.08337402,2015.125,3.0,Rented for cash,55.0,16.0,[Partner Name] is Female,14.0,3,White,5,South,Excellent,1,5,winter,winter,3 to 6 times a week,2015.125,0.0,hetero couple,53,51.0,United States,13.0,Male,United States,12.0,-2,White,heterosexual or straight,4.0,I earned more
45,2254741,2.0,Never,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,80000,2,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,2000.7084,0.0,2001.375,2.0,Rented for cash,34.0,12.0,[Partner Name] is Female,12.0,-3,White,0,South,Excellent,1,5,autumn,autumn,Once or twice a week,2000.7084,0.666626,hetero couple,36,19.0,United States,12.0,Male,United States,16.0,-3,White,heterosexual or straight,0.0,I earned more
46,2337841,14.0,Once or twice a month,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,17500,0,1,no,True,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,2015.7916,0.25,2016.0416,2.0,Rented for cash,52.0,13.0,[Partner Name] is Female,16.0,-3,White,1,South,Good,1,4,autumn,winter,3 to 6 times a week,2016.0416,0.0,hetero couple,38,36.0,United States,12.0,Male,United States,7.5,-2,White,heterosexual or straight,1.0,We earned about the same amount
47,2405443,2.0,Never,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,0,2,yes,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1971.7084,0.0,1971.7916,0.0,Owned or being bought by you or someone in your household,64.0,12.0,[Partner Name] is Male,5.5,-1,White,1,Midwest,Excellent,1,5,autumn,autumn,2 to 3 times a month,1971.7084,0.08325195,hetero couple,62,16.0,United States,9.0,Female,United States,5.5,0,"American Indian, Aleut, or Eskimo",heterosexual or straight,1.0,[Partner Name] earned more
48,2808887,10.0,Once or twice a month,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,2500,0,2,yes,True,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,2015.2084,,2000.375,4.0,Rented for cash,23.0,10.0,[Partner Name] is Female,9.0,-3,Other (please specify),2,West,Excellent,1,5,spring,,Once or twice a week,,,hetero couple,33,31.0,United States,10.0,Male,United States,10.0,-1,"American Indian, Aleut, or Eskimo",Something else,0.0,We earned about the same amount
51,2965635,1.0,Once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,137500,2,4,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1997.5416,0.0,1998.625,5.0,Owned or being bought by you or someone in your household,40.0,17.0,[Partner Name] is Male,13.0,-1,White,1,South,Excellent,1,5,summer,summer,Once or twice a week,1997.5416,1.083374,hetero couple,41,21.0,United States,17.0,Female,United States,14.0,-2,White,heterosexual or straight,0.0,[Partner Name] earned more
52,2789327,2.0,Never,employed,sexually attracted only to same gender,A one-family house detached from any other house,2,150000,0,2,no,False,Yes,"No, I am not Married",Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1976.625,0.33337402,1976.9584,0.0,Owned or being bought by you or someone in your household,58.0,17.0,[Partner Name] is Male,17.0,0,White,1,West,Excellent,1,5,summer,winter,Once a month or less,1976.9584,0.0,gay male couple,60,19.0,United States,12.0,Male,United States,12.0,1,White,gay,0.0,[Partner Name] earned more
53,1730087,3.0,Never,retired,sexually attracted only to opposite gender,A one-family house attached to one or more houses,2,112500,1,3,yes,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1998.4584,1.583252,2000.2084,0.0,Rented for cash,55.0,17.0,[Partner Name] is Female,13.0,3,Asian or Pacific Islander,1,West,Excellent,1,5,summer,winter,Once a day or more,2000.0416,0.16674805,hetero couple,58,39.0,"Another country, please specify",16.0,Male,United States,17.0,2,White,heterosexual or straight,1.0,I earned more
54,1107709,1.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,7,225000,0,7,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1983.2916,0.08337402,1986.7084,0.0,Owned or being bought by you or someone in your household,54.0,14.0,[Partner Name] is Female,14.0,2,White,0,West,Excellent,1,5,spring,spring,2 to 3 times a month,1983.375,3.333374,hetero couple,55,21.0,"Another country, please specify",16.0,Male,"Another country, please specify",12.0,2,White,heterosexual or straight,0.0,I earned more
55,2807193,3.0,Never,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1965.4584,2.833252,1971.4584,1.0,Owned or being bought by you or someone in your household,67.0,13.0,[Partner Name] is Female,12.0,3,White,0,West,Excellent,1,5,summer,spring,Once a month or less,1968.2916,3.166748,hetero couple,70,18.0,United States,17.0,Male,United States,12.0,3,White,heterosexual or straight,0.0,I earned more
56,2953253,1.0,Never,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,225000,3,5,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,2008.0416,0.08337402,2009.625,2.0,Owned or being bought by you or someone in your household,53.0,14.0,[Partner Name] is Female,16.0,-1,White,1,Northeast,Good,1,4,winter,winter,Once or twice a week,2008.125,1.5,hetero couple,54,45.0,United States,16.0,Male,United States,12.0,-2,White,heterosexual or straight,1.0,[Partner Name] earned more
57,1750221,2.0,Never,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,150000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1974.875,0.0,1987.9584,0.0,Occupied without payment of cash rent,62.0,13.0,[Partner Name] is Male,13.0,-3,White,1,South,Good,1,4,autumn,autumn,Once or twice a week,1974.875,13.083374,hetero couple,60,17.0,United States,13.0,Female,United States,12.0,-2,White,heterosexual or straight,0.0,I earned more
58,2939367,2.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,137500,1,4,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2014.125,0.0,,2.0,Owned or being bought by you or someone in your household,32.0,14.0,[Partner Name] is Male,16.0,3,Black or African American,0,Northeast,Excellent,1,5,winter,winter,3 to 6 times a week,2014.125,,hetero couple,30,27.0,United States,13.0,Female,United States,17.0,3,Black or African American,heterosexual or straight,0.0,We earned about the same amount
59,654967,2.0,A few times a year,unemployed,"sexually attracted mostly to same gender, sometimes opposite gender",A one-family house detached from any other house,4,45000,2,6,no,False,No,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2006.625,1.75,2009.0416,2.0,Owned or being bought by you or someone in your household,28.0,12.0,[Partner Name] is Male,14.0,0,White,0,West,Very Poor,0,1,summer,spring,2 to 3 times a month,2008.375,0.666626,hetero couple,26,15.0,United States,14.0,Female,United States,14.0,0,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
